carrier,delay,origin,count,destination
AA,-10.0,ATL,117.0,MIA
AA,-10.0,ATL,90.0,ORD
AA,-10.0,ATL,136.0,PHL
AA,-10.0,ATL,56.0,PHX
AS,-13.0,ATL,37.0,SEA
B6,-20.0,ATL,147.0,BOS
DL,-9.0,ATL,50.0,ABQ
DL,-9.0,ATL,30.0,AGS
DL,-9.0,ATL,84.0,ALB
DL,-9.0,ATL,31.0,ATW
DL,-9.0,ATL,200.0,AUS
DL,-9.0,ATL,59.0,AVL
DL,-9.0,ATL,246.0,BHM
DL,-9.0,ATL,276.0,BNA
DL,-9.0,ATL,295.0,BOS
DL,-9.0,ATL,45.0,BTR
DL,-9.0,ATL,29.0,BTV
DL,-9.0,ATL,117.0,BUF
DL,-9.0,ATL,276.0,BWI
DL,-9.0,ATL,9.0,BZN
DL,-9.0,ATL,124.0,CAE
DL,-9.0,ATL,87.0,CAK
DL,-9.0,ATL,57.0,CHA
DL,-9.0,ATL,22.0,CHO
DL,-9.0,ATL,191.0,CLE
DL,-9.0,ATL,274.0,CLT
DL,-9.0,ATL,23.0,COS
DL,-9.0,ATL,119.0,DAB
DL,-9.0,ATL,142.0,DAL
DL,-9.0,ATL,115.0,DAY
DL,-9.0,ATL,185.0,DEN
DL,-9.0,ATL,99.0,DKX
DL,-9.0,ATL,71.0,DSM
DL,-9.0,ATL,312.0,DTW
DL,-9.0,ATL,32.0,EGE
DL,-9.0,ATL,61.0,ELP
DL,-9.0,ATL,29.0,EVV
DL,-9.0,ATL,280.0,EWR
DL,-9.0,ATL,65.0,EYW
DL,-9.0,ATL,31.0,FAY
DL,-9.0,ATL,87.0,FNT
DL,-9.0,ATL,19.0,FSD
DL,-9.0,ATL,55.0,FYV
DL,-9.0,ATL,27.0,GNV
DL,-9.0,ATL,30.0,GRB
DL,-9.0,ATL,125.0,GRR
DL,-9.0,ATL,217.0,GSP
DL,-9.0,ATL,27.0,HDN
DL,-9.0,ATL,182.0,HFD
DL,-9.0,ATL,31.0,HNL
DL,-9.0,ATL,154.0,HOU
DL,-9.0,ATL,192.0,HSV
DL,-9.0,ATL,190.0,IAH
DL,-9.0,ATL,84.0,ICT
DL,-9.0,ATL,24.0,ILM
DL,-9.0,ATL,227.0,IND
DL,-9.0,ATL,11.0,JAC
DL,-9.0,ATL,330.0,JAX
DL,-9.0,ATL,201.0,JFK
DL,-9.0,ATL,217.0,LAS
DL,-9.0,ATL,308.0,LAX
DL,-9.0,ATL,134.0,LEX
DL,-9.0,ATL,30.0,LFT
DL,-9.0,ATL,445.0,LGA
DL,-9.0,ATL,159.0,LIT
DL,-9.0,ATL,223.0,MCI
DL,-9.0,ATL,498.0,MCO
DL,-9.0,ATL,82.0,MDT
DL,-9.0,ATL,148.0,MDW
DL,-9.0,ATL,267.0,MEM
DL,-9.0,ATL,31.0,MHT
DL,-9.0,ATL,326.0,MIA
DL,-9.0,ATL,187.0,MKE
DL,-9.0,ATL,133.0,MLB
DL,-9.0,ATL,30.0,MOB
DL,-9.0,ATL,84.0,MSN
DL,-9.0,ATL,315.0,MSP
DL,-9.0,ATL,303.0,MSY
DL,-9.0,ATL,84.0,MYR
DL,-9.0,ATL,158.0,OKC
DL,-9.0,ATL,141.0,OMA
DL,-9.0,ATL,282.0,ORD
DL,-9.0,ATL,201.0,ORF
DL,-9.0,ATL,85.0,PDX
DL,-9.0,ATL,265.0,PHL
DL,-9.0,ATL,160.0,PHX
DL,-9.0,ATL,210.0,PIT
DL,-9.0,ATL,203.0,PNS
DL,-9.0,ATL,81.0,PVD
DL,-9.0,ATL,27.0,PWM
DL,-9.0,ATL,237.0,RIC
DL,-9.0,ATL,6.0,RNO
DL,-9.0,ATL,31.0,ROA
DL,-9.0,ATL,81.0,ROC
DL,-9.0,ATL,145.0,SAN
DL,-9.0,ATL,200.0,SAT
DL,-9.0,ATL,215.0,SAV
DL,-9.0,ATL,221.0,SDF
DL,-9.0,ATL,156.0,SEA
DL,-9.0,ATL,193.0,SFO
DL,-9.0,ATL,78.0,SJC
DL,-9.0,ATL,93.0,SJU
DL,-9.0,ATL,212.0,SLC
DL,-9.0,ATL,79.0,SMF
DL,-9.0,ATL,89.0,SNA
DL,-9.0,ATL,31.0,STT
DL,-9.0,ATL,20.0,STX
DL,-9.0,ATL,81.0,SYR
DL,-9.0,ATL,112.0,TLH
DL,-9.0,ATL,379.0,TPA
DL,-9.0,ATL,122.0,TUL
DL,-9.0,ATL,57.0,TUS
DL,-9.0,ATL,99.0,TYS
EV,-7.0,ATL,3.0,AGS
EV,-7.0,ATL,26.0,ATW
EV,-7.0,ATL,2.0,AVL
EV,-7.0,ATL,6.0,BHM
EV,-7.0,ATL,67.0,BTR
EV,-7.0,ATL,92.0,CAE
EV,-7.0,ATL,2.0,DKX
EV,-7.0,ATL,4.0,EVV
EV,-7.0,ATL,89.0,EYW
EV,-7.0,ATL,74.0,FYV
EV,-7.0,ATL,2.0,GNV
EV,-7.0,ATL,2.0,GRK
EV,-7.0,ATL,6.0,GRR
EV,-7.0,ATL,3.0,GSP
EV,-7.0,ATL,134.0,HPN
EV,-7.0,ATL,2.0,HSV
EV,-7.0,ATL,8.0,LEX
EV,-7.0,ATL,21.0,LNK
EV,-7.0,ATL,3.0,MEM
EV,-7.0,ATL,52.0,MLI
EV,-7.0,ATL,4.0,MYR
EV,-7.0,ATL,2.0,ORD
EV,-7.0,ATL,26.0,RST
EV,-7.0,ATL,2.0,SDF
EV,-7.0,ATL,90.0,SGF
EV,-7.0,ATL,49.0,TLH
EV,-7.0,ATL,5.0,TUL
EV,-7.0,ATL,2.0,TYS
F9,-10.0,ATL,18.0,AUS
F9,-10.0,ATL,39.0,DEN
F9,-10.0,ATL,31.0,LAS
F9,-10.0,ATL,13.0,LAX
F9,-10.0,ATL,31.0,LGA
F9,-10.0,ATL,31.0,MCO
F9,-10.0,ATL,31.0,MIA
F9,-10.0,ATL,13.0,SAT
F9,-10.0,ATL,18.0,SFO
F9,-10.0,ATL,13.0,SJU
F9,-10.0,ATL,18.0,SLC
F9,-10.0,ATL,17.0,TTN
MQ,-11.0,ATL,56.0,ORD
NK,-8.0,ATL,31.0,BOS
NK,-8.0,ATL,62.0,BWI
NK,-8.0,ATL,31.0,CLE
NK,-8.0,ATL,62.0,DTW
NK,-8.0,ATL,31.0,IAH
NK,-8.0,ATL,31.0,LAS
NK,-8.0,ATL,31.0,LAX
NK,-8.0,ATL,62.0,MCO
NK,-8.0,ATL,31.0,MSP
NK,-8.0,ATL,31.0,MSY
NK,-8.0,ATL,31.0,ORD
NK,-8.0,ATL,31.0,PHL
NK,-8.0,ATL,31.0,TPA
OH,0.0,ATL,68.0,CLT
OO,-1.0,ATL,1.0,AEX
OO,-1.0,ATL,192.0,AGS
OO,-1.0,ATL,31.0,ASE
OO,-1.0,ATL,96.0,AVL
OO,-1.0,ATL,55.0,BTR
OO,-1.0,ATL,160.0,CHA
OO,-1.0,ATL,102.0,CHO
OO,-1.0,ATL,23.0,DEN
OO,-1.0,ATL,115.0,DHN
OO,-1.0,ATL,1.0,DKX
OO,-1.0,ATL,6.0,EVV
OO,-1.0,ATL,4.0,FAR
OO,-1.0,ATL,2.0,FAY
OO,-1.0,ATL,118.0,FWA
OO,-1.0,ATL,76.0,GNV
OO,-1.0,ATL,31.0,IAH
OO,-1.0,ATL,108.0,ILM
OO,-1.0,ATL,55.0,LFT
OO,-1.0,ATL,187.0,MGM
OO,-1.0,ATL,35.0,MLI
OO,-1.0,ATL,112.0,MLU
OO,-1.0,ATL,156.0,MOB
OO,-1.0,ATL,57.0,ORD
OO,-1.0,ATL,56.0,ROA
OO,-1.0,ATL,114.0,SBN
OO,-1.0,ATL,67.0,SHV
OO,-1.0,ATL,1.0,TYS
UA,-10.0,ATL,6.0,DEN
UA,-10.0,ATL,202.0,EWR
UA,-10.0,ATL,32.0,IAH
UA,-10.0,ATL,73.0,ORD
UA,-10.0,ATL,59.0,SFO
WN,-8.0,ATL,85.0,AUS
WN,-8.0,ATL,69.0,BOS
WN,-8.0,ATL,183.0,BWI
WN,-8.0,ATL,57.0,CLE
WN,-8.0,ATL,150.0,DAL
WN,-8.0,ATL,119.0,DEN
WN,-8.0,ATL,89.0,DTW
WN,-8.0,ATL,89.0,GSP
WN,-8.0,ATL,174.0,HOU
WN,-8.0,ATL,88.0,IND
WN,-8.0,ATL,89.0,JAX
WN,-8.0,ATL,93.0,LAS
WN,-8.0,ATL,93.0,LAX
WN,-8.0,ATL,154.0,LGA
WN,-8.0,ATL,104.0,MCI
WN,-8.0,ATL,185.0,MCO
WN,-8.0,ATL,157.0,MDW
WN,-8.0,ATL,61.0,MKE
WN,-8.0,ATL,61.0,MSP
WN,-8.0,ATL,120.0,MSY
WN,-8.0,ATL,31.0,OAK
WN,-8.0,ATL,63.0,PHL
WN,-8.0,ATL,62.0,PHX
WN,-8.0,ATL,62.0,PIT
WN,-8.0,ATL,89.0,RIC
WN,-8.0,ATL,31.0,SAN
WN,-8.0,ATL,58.0,SAT
WN,-8.0,ATL,178.0,TPA
YV,-9.0,ATL,131.0,IAH
YX,-9.0,ATL,7.0,CLT
YX,-9.0,ATL,23.0,DEN
YX,-9.0,ATL,6.0,EWR
YX,-9.0,ATL,8.0,IAH
YX,-9.0,ATL,100.0,LGA
YX,-9.0,ATL,69.0,MIA
YX,-9.0,ATL,37.0,ORD
YX,-9.0,ATL,33.0,PHL
9E,-15.0,ATW,28.0,DTW
9E,-15.0,ATW,83.0,MSP
DL,-16.0,ATW,31.0,ATL
EV,-3.0,ATW,26.0,ATL
EV,-3.0,ATW,24.0,DTW
G4,-10.0,ATW,9.0,IWA
G4,-10.0,ATW,9.0,LAS
G4,-10.0,ATW,9.0,PIE
MQ,-11.0,ATW,59.0,ORD
OO,-4.0,ATW,30.0,DTW
OO,-4.0,ATW,1.0,MSP
9E,6.0,AUS,5.0,DTW
9E,6.0,AUS,3.0,MSP
AA,-9.0,AUS,109.0,CLT
AA,-9.0,AUS,34.0,JFK
AA,-9.0,AUS,93.0,LAX
AA,-9.0,AUS,89.0,ORD
AA,-9.0,AUS,56.0,PHL
AA,-9.0,AUS,89.0,PHX
AS,-4.0,AUS,31.0,PDX
AS,-4.0,AUS,53.0,SEA
B6,3.0,AUS,31.0,BOS
B6,3.0,AUS,62.0,JFK
B6,3.0,AUS,31.0,LGB
B6,3.0,AUS,32.0,MCO
DL,-8.0,AUS,200.0,ATL
DL,-8.0,AUS,22.0,BOS
DL,-8.0,AUS,42.0,DTW
DL,-8.0,AUS,72.0,JFK
DL,-8.0,AUS,71.0,LAX
DL,-8.0,AUS,56.0,MSP
DL,-8.0,AUS,33.0,SEA
DL,-8.0,AUS,47.0,SLC
F9,2.0,AUS,18.0,ATL
F9,2.0,AUS,31.0,DEN
F9,2.0,AUS,31.0,LAS
F9,2.0,AUS,13.0,MSY
F9,2.0,AUS,13.0,ONT
F9,2.0,AUS,18.0,PHX
F9,2.0,AUS,13.0,SAN
G4,-7.0,AUS,9.0,ABQ
G4,-7.0,AUS,9.0,CLE
G4,-7.0,AUS,9.0,IND
G4,-7.0,AUS,14.0,LAS
G4,-7.0,AUS,2.0,MEM
G4,-7.0,AUS,9.0,PIE
G4,-7.0,AUS,9.0,PIT
OH,-1.0,AUS,3.0,CLT
OO,-2.0,AUS,54.0,DEN
OO,-2.0,AUS,24.0,DTW
OO,-2.0,AUS,6.0,LAS
OO,-2.0,AUS,31.0,LAX
OO,-2.0,AUS,3.0,ORD
OO,-2.0,AUS,31.0,SAN
OO,-2.0,AUS,21.0,SFO
OO,-2.0,AUS,31.0,SJC
OO,-2.0,AUS,2.0,SLC
UA,-9.0,AUS,34.0,DEN
UA,-9.0,AUS,44.0,EWR
UA,-9.0,AUS,231.0,IAH
UA,-9.0,AUS,5.0,LAX
UA,-9.0,AUS,89.0,ORD
UA,-9.0,AUS,73.0,SFO
VX,-5.5,AUS,57.0,SFO
WN,-5.0,AUS,10.0,ABQ
WN,-5.0,AUS,85.0,ATL
WN,-5.0,AUS,64.0,BNA
WN,-5.0,AUS,28.0,BOS
WN,-5.0,AUS,58.0,BWI
WN,-5.0,AUS,295.0,DAL
WN,-5.0,AUS,140.0,DEN
WN,-5.0,AUS,63.0,ELP
WN,-5.0,AUS,37.0,EWR
WN,-5.0,AUS,159.0,HOU
WN,-5.0,AUS,92.0,LAS
WN,-5.0,AUS,80.0,LAX
WN,-5.0,AUS,31.0,MCI
WN,-5.0,AUS,67.0,MCO
WN,-5.0,AUS,68.0,MDW
WN,-5.0,AUS,56.0,MSY
WN,-5.0,AUS,32.0,OAK
WN,-5.0,AUS,120.0,PHX
WN,-5.0,AUS,66.0,SAN
WN,-5.0,AUS,4.0,SEA
WN,-5.0,AUS,58.0,SJC
WN,-5.0,AUS,29.0,TPA
YV,-1.0,AUS,32.0,IAH
YX,-10.5,AUS,43.0,EWR
YX,-10.5,AUS,92.0,MIA
YX,-10.5,AUS,6.0,ORD
9E,34.0,AVL,4.0,ATL
DL,-13.5,AVL,58.0,ATL
EV,1.0,AVL,2.0,ATL
EV,1.0,AVL,1.0,EWR
G4,0.0,AVL,1.0,BWI
G4,0.0,AVL,8.0,EWR
G4,0.0,AVL,10.0,PGD
G4,0.0,AVL,17.0,PIE
OH,-4.0,AVL,148.0,CLT
OO,2.0,AVL,96.0,ATL
OO,2.0,AVL,68.0,ORD
UA,8.0,AVL,27.0,EWR
9E,20.0,AZO,1.0,MSP
EV,0.5,AZO,27.0,DTW
MQ,0.0,AZO,38.0,ORD
OO,-12.5,AZO,86.0,DTW
OO,-12.5,AZO,50.0,MSP
OO,-12.5,AZO,23.0,ORD
AS,-10.0,BET,73.0,ANC
OO,-8.0,BFF,3.0,DEN
OO,-17.0,BFL,58.0,DEN
OO,-17.0,BFL,31.0,SFO
YV,4.0,BFL,82.0,PHX
OO,-3.0,BGM,58.0,DTW
9E,-24.0,BGR,31.0,JFK
9E,-24.0,BGR,82.0,LGA
EV,1.0,BGR,61.0,EWR
G4,15.5,BGR,10.0,PIE
DL,-8.5,BHM,246.0,ATL
EV,-11.0,BHM,6.0,ATL
EV,-11.0,BHM,118.0,IAH
EV,-11.0,BHM,35.0,LGA
EV,-11.0,BHM,1.0,MCO
EV,-11.0,BHM,8.0,ORD
MQ,-10.0,BHM,61.0,MIA
MQ,-10.0,BHM,51.0,ORD
OH,-4.0,BHM,167.0,CLT
OH,-4.0,BHM,27.0,PHL
OO,-3.0,BHM,38.0,DEN
OO,-3.0,BHM,21.0,IAH
OO,-3.0,BHM,80.0,ORD
WN,-7.0,BHM,33.0,BWI
WN,-7.0,BHM,63.0,DAL
WN,-7.0,BHM,55.0,HOU
WN,-7.0,BHM,31.0,LAS
WN,-7.0,BHM,63.0,MCO
WN,-7.0,BHM,52.0,MDW
WN,-7.0,BHM,59.0,TPA
YX,-14.5,BHM,5.0,IAH
YX,-14.5,BHM,5.0,ORD
DL,-18.5,BIL,31.0,MSP
DL,-18.5,BIL,31.0,SLC
G4,-10.0,BIL,9.0,IWA
G4,-10.0,BIL,9.0,LAS
OO,-12.0,BIL,66.0,DEN
OO,-12.0,BIL,30.0,MSP
OO,-12.0,BIL,25.0,PDX
OO,-12.0,BIL,58.0,SLC
UA,-16.0,BIL,61.0,DEN
OO,1.0,BJI,62.0,MSP
AS,-2.0,BLI,18.0,OGG
AS,-2.0,BLI,27.0,SEA
G4,-9.0,BLI,11.0,IWA
G4,-9.0,BLI,53.0,LAS
G4,-9.0,BLI,9.0,LAX
G4,-9.0,BLI,14.0,OAK
G4,-9.0,BLI,14.0,PSP
G4,-9.0,BLI,9.0,SAN
OO,-5.0,BLI,62.0,SEA
